id,unit,chapter,statement,equation,categories,note,level
017,第I部,中和反応,リン酸1 molに水酸化ナトリウム2 molを反応させる。,H_3PO_4 + 2NaOH -> Na_2HPO_4 + 2H_2O,イ,リン酸の第二段階までの中和。,2
018,第I部,中和反応,リン酸を水酸化ナトリウムで完全に中和する。,H_3PO_4 + 3NaOH -> Na_3PO_4 + 3H_2O,イ,三価酸の完全中和。,2
019,第I部,中和反応,アンモニアと塩化水素を反応させる。,NH_3 + HCl -> NH_4Cl,イ,弱塩基と酸の反応。白煙を生じる。,1
020,第I部,中和反応,アンモニアと硝酸を反応させる。,NH_3 + HNO_3 -> NH_4NO_3,イ,アンモニウム塩を生じる。,1
021,第I部,中和反応,酸化銅(II)に塩酸を加える。,CuO + 2HCl -> CuCl_2 + H_2O,イ,塩基性酸化物と酸の中和。,1
022,第I部,中和反応,酸化マグネシウムに硫酸を加える。,MgO + H_2SO_4 -> MgSO_4 + H_2O,イ,塩基性酸化物と酸の中和。,1
023,第I部,中和反応,酸化鉄(III)に塩酸を加える。,Fe_2O_3 + 6HCl -> 2FeCl_3 + 3H_2O,イ,塩基性酸化物と酸の反応。,2
024,第I部,中和反応,酸化アルミニウムに塩酸を加える。,Al_2O_3 + 6HCl -> 2AlCl_3 + 3H_2O,イ,両性酸化物が酸に溶ける。,2
025,第I部,中和・錯体生成,酸化アルミニウムを強塩基性水溶液に溶かす。,Al_2O_3 + 2OH^- + 3H_2O -> 2[Al(OH)_4]^-,イ;キ,両性酸化物と塩基の反応。,3
026,第I部,中和反応,二酸化炭素を十分量の水酸化ナトリウム水溶液に吸収させる。,CO_2 + 2NaOH -> Na_2CO_3 + H_2O,イ,酸性酸化物と塩基の中和。,1
027,第I部,中和反応,二酸化炭素を水酸化ナトリウムと1対1で反応させる。,CO_2 + NaOH -> NaHCO_3,イ,炭酸水素塩を生じる。,2
028,第I部,中和反応,二酸化硫黄を十分量の水酸化ナトリウム水溶液に吸収させる。,SO_2 + 2NaOH -> Na_2SO_3 + H_2O,イ,亜硫酸塩を生じる。,1
029,第I部,中和反応,二酸化硫黄を水酸化ナトリウムと1対1で反応させる。,SO_2 + NaOH -> NaHSO_3,イ,亜硫酸水素塩を生じる。,2
030,第I部,中和反応,三酸化硫黄を十分量の水酸化ナトリウム水溶液に吸収させる。,SO_3 + 2NaOH -> Na_2SO_4 + H_2O,イ,硫酸塩を生じる。,2
031,第I部,中和反応,二酸化ケイ素を水酸化ナトリウムと加熱する。,SiO_2 + 2NaOH -> Na_2SiO_3 + H_2O,イ,酸性酸化物と塩基の反応。,2
032,第I部,中和・沈殿,硫酸と水酸化バリウム水溶液を過不足なく混合する。,H_2SO_4 + Ba(OH)_2 -> BaSO_4↓ + 2H_2O,イ;カ,中和と硫酸バリウムの沈殿生成。,2
033,第I部,遊離反応,炭酸ナトリウムに塩酸を加える。,Na_2CO_3 + 2HCl -> 2NaCl + H_2O + CO_2↑,ウ,弱酸である炭酸が遊離し、分解する。,1
034,第I部,遊離反応,炭酸水素ナトリウムに塩酸を加える。,NaHCO_3 + HCl -> NaCl + H_2O + CO_2↑,ウ,二酸化炭素を発生する。,1
035,第I部,遊離反応,炭酸カルシウムに塩酸を加える。,CaCO_3 + 2HCl -> CaCl_2 + H_2O + CO_2↑,ウ,炭酸の遊離による気体発生。,1
036,第I部,遊離反応,亜硫酸ナトリウムに塩酸を加える。,Na_2SO_3 + 2HCl -> 2NaCl + H_2O + SO_2↑,ウ,弱酸である亜硫酸が遊離し、分解する。,1
037,第I部,遊離反応,亜硫酸水素ナトリウムに塩酸を加える。,NaHSO_3 + HCl -> NaCl + H_2O + SO_2↑,ウ,二酸化硫黄を発生する。,2
038,第I部,遊離反応,硫化鉄(II)に希塩酸を加える。,FeS + 2HCl -> FeCl_2 + H_2S↑,ウ,弱酸である硫化水素が遊離する。,1
039,第I部,遊離反応,硫化ナトリウムに塩酸を加える。,Na_2S + 2HCl -> 2NaCl + H_2S↑,ウ,硫化水素を発生する。,1
040,第I部,遊離反応,塩化アンモニウムに水酸化ナトリウムを加えて加熱する。,NH_4Cl + NaOH -> NaCl + H_2O + NH_3↑,ウ,弱塩基であるアンモニアが遊離する。,1
041,第I部,遊離反応,硫酸アンモニウムに水酸化ナトリウムを加えて加熱する。,(NH_4)_2SO_4 + 2NaOH -> Na_2SO_4 + 2H_2O + 2NH_3↑,ウ,アンモニアの遊離反応。,2
042,第I部,遊離反応,塩化ナトリウムに濃硫酸を加えて加熱する。,2NaCl + H_2SO_4 -> Na_2SO_4 + 2HCl↑,ウ,揮発性酸である塩化水素の遊離。,2
043,第I部,遊離反応,フッ化カルシウムに濃硫酸を加えて加熱する。,CaF_2 + H_2SO_4 -> CaSO_4 + 2HF↑,ウ,フッ化水素の遊離。,2
044,第I部,遊離反応,シアン化カリウムに塩酸を加える。,KCN + HCl -> KCl + HCN↑,ウ,弱酸であるシアン化水素の遊離。,3
045,第I部,遊離・沈殿,ケイ酸ナトリウム水溶液に塩酸を加える。,Na_2SiO_3 + 2HCl -> H_2SiO_3↓ + 2NaCl,ウ;カ,弱酸であるケイ酸がゲル状に析出する。,2
046,第I部,遊離・沈殿,アルミン酸ナトリウム水溶液に塩酸を少量加える。,NaAlO_2 + HCl + H_2O -> Al(OH)_3↓ + NaCl,ウ;カ,水酸化アルミニウムを遊離・沈殿させる。,3
047,第I部,酸化還元反応,亜鉛に希塩酸を加える。,Zn + 2HCl -> ZnCl_2 + H_2↑,エ,亜鉛が酸化され、水素イオンが還元される。,1
048,第I部,酸化還元反応,鉄に希塩酸を加える。,Fe + 2HCl -> FeCl_2 + H_2↑,エ,鉄は鉄(II)イオンになる。,1
049,第I部,酸化還元反応,マグネシウムを熱水と反応させる。,Mg + 2H_2O -> Mg(OH)_2 + H_2↑,エ,マグネシウムが水素を還元する。,2
050,第I部,酸化還元反応,ナトリウムを水に入れる。,2Na + 2H_2O -> 2NaOH + H_2↑,エ,アルカリ金属と水の反応。,1
051,第I部,酸化還元反応,アルミニウムに希塩酸を加える。,2Al + 6HCl -> 2AlCl_3 + 3H_2↑,エ,酸化皮膜を除いたアルミニウムの反応。,2
052,第I部,酸化還元反応,銅に濃硝酸を加える。,Cu + 4HNO_3 -> Cu(NO_3)_2 + 2NO_2↑ + 2H_2O,エ,濃硝酸は二酸化窒素まで還元される。,2
053,第I部,酸化還元反応,銅に希硝酸を加える。,3Cu + 8HNO_3 -> 3Cu(NO_3)_2 + 2NO↑ + 4H_2O,エ,希硝酸は一酸化窒素まで還元される。,2
054,第I部,酸化還元反応,銅に熱濃硫酸を加える。,Cu + 2H_2SO_4 -> CuSO_4 + SO_2↑ + 2H_2O,エ,濃硫酸が酸化剤として働く。,2
055,第I部,酸化還元反応,炭素を熱濃硫酸で酸化する。,C + 2H_2SO_4 -> CO_2 + 2SO_2 + 2H_2O,エ,炭素が二酸化炭素まで酸化される。,3
056,第I部,酸化還元反応,硫黄を熱濃硫酸で酸化する。,S + 2H_2SO_4 -> 3SO_2 + 2H_2O,エ,硫黄の酸化数が0から+4になる。,3
057,第I部,酸化還元反応,リンを熱濃硫酸で酸化する。,2P + 5H_2SO_4 -> 2H_3PO_4 + 5SO_2 + 2H_2O,エ,リンがリン酸まで酸化される。,3
058,第I部,酸化還元反応,銅を硝酸銀水溶液に入れる。,Cu + 2AgNO_3 -> Cu(NO_3)_2 + 2Ag,エ,金属のイオン化傾向による置換反応。,1
059,第I部,酸化還元反応,鉄を硫酸銅(II)水溶液に入れる。,Fe + CuSO_4 -> FeSO_4 + Cu,エ,鉄が銅(II)イオンを還元する。,1
060,第I部,酸化還元反応,アルミニウムを硫酸銅(II)水溶液と反応させる。,2Al + 3CuSO_4 -> Al_2(SO_4)_3 + 3Cu,エ,アルミニウムが銅(II)イオンを還元する。,2
061,第I部,酸化還元反応,ヨウ化カリウム水溶液に塩素を通じる。,Cl_2 + 2KI -> 2KCl + I_2,エ,塩素がヨウ化物イオンを酸化する。,1
062,第I部,酸化還元反応,ヨウ化カリウム水溶液に臭素を加える。,Br_2 + 2KI -> 2KBr + I_2,エ,臭素がヨウ化物イオンを酸化する。,1
063,第I部,酸化還元反応,臭化カリウム水溶液に塩素を通じる。,Cl_2 + 2KBr -> 2KCl + Br_2,エ,ハロゲン単体の酸化力の差を利用する。,1
064,第I部,酸化還元反応,塩化鉄(II)水溶液に塩素を通じる。,2FeCl_2 + Cl_2 -> 2FeCl_3,エ,鉄(II)イオンが鉄(III)イオンに酸化される。,2
065,第I部,酸化還元反応,塩化鉄(III)水溶液にヨウ化カリウムを加える。,2FeCl_3 + 2KI -> 2FeCl_2 + 2KCl + I_2,エ,鉄(III)イオンがヨウ化物イオンを酸化する。,2
066,第I部,酸化還元反応,塩化鉄(III)水溶液に硫化水素を通じる。,2FeCl_3 + H_2S -> 2FeCl_2 + 2HCl + S↓,エ,鉄(III)イオンが硫化水素を酸化する。,2
067,第I部,酸化還元反応,硫化水素に塩素を通じる。,H_2S + Cl_2 -> 2HCl + S↓,エ,硫化水素が硫黄まで酸化される。,1
068,第I部,酸化還元反応,硫化水素と二酸化硫黄を反応させる。,2H_2S + SO_2 -> 3S↓ + 2H_2O,エ,硫黄の単体を生じる酸化還元反応。,2
069,第I部,酸化還元反応,二酸化硫黄を臭素水に通じる。,SO_2 + Br_2 + 2H_2O -> H_2SO_4 + 2HBr,エ,二酸化硫黄が還元剤として働く。,2
070,第I部,酸化還元反応,酸性の過マンガン酸カリウム水溶液に二酸化硫黄を通じる。,5SO_2 + 2KMnO_4 + 2H_2O -> K_2SO_4 + 2MnSO_4 + 2H_2SO_4,エ,過マンガン酸イオンがマンガン(II)イオンまで還元される。,3
071,第I部,酸化還元反応,過マンガン酸カリウムに濃塩酸を加える。,2KMnO_4 + 16HCl -> 2KCl + 2MnCl_2 + 5Cl_2↑ + 8H_2O,エ,塩化物イオンが塩素に酸化される。,3
072,第I部,酸化還元反応,二クロム酸カリウムに濃塩酸を加える。,K_2Cr_2O_7 + 14HCl -> 2KCl + 2CrCl_3 + 3Cl_2↑ + 7H_2O,エ,二クロム酸イオンがクロム(III)イオンまで還元される。,3
073,第I部,酸化還元反応,二酸化マンガンに濃塩酸を加えて加熱する。,MnO_2 + 4HCl -> MnCl_2 + Cl_2↑ + 2H_2O,エ,実験室での塩素の製法。,2
074,第I部,酸化還元反応,二酸化鉛に濃塩酸を加える。,PbO_2 + 4HCl -> PbCl_2 + Cl_2↑ + 2H_2O,エ,二酸化鉛が酸化剤として働く。,3
075,第I部,酸化還元反応,酸性条件で過酸化水素水にヨウ化カリウムを加える。,H_2O_2 + 2KI + H_2SO_4 -> I_2 + K_2SO_4 + 2H_2O,エ,過酸化水素が酸化剤として働く。,2
076,第I部,酸化還元反応,二酸化硫黄を過酸化水素水で酸化する。,H_2O_2 + SO_2 -> H_2SO_4,エ,過酸化水素が酸化剤として働く。,2
077,第I部,酸化還元反応,酸性の過マンガン酸カリウム水溶液に過酸化水素水を加える。,5H_2O_2 + 2KMnO_4 + 3H_2SO_4 -> K_2SO_4 + 2MnSO_4 + 8H_2O + 5O_2↑,エ,過酸化水素が還元剤として働く。,3
078,第I部,酸化還元反応,白金触媒のもとでアンモニアを酸化する。,4NH_3 + 5O_2 -> 4NO + 6H_2O,エ,オストワルト法の第一段階。,2
079,第I部,熱分解・酸化還元,過酸化水素を二酸化マンガン触媒の存在下で分解する。,2H_2O_2 -> 2H_2O + O_2↑,オ;エ,過酸化水素の自己酸化還元反応。,1
080,第I部,熱分解・酸化還元,塩素酸カリウムを二酸化マンガン触媒の存在下で加熱する。,2KClO_3 -> 2KCl + 3O_2↑,オ;エ,酸素の実験室的製法。,1
081,第I部,熱分解・酸化還元,過マンガン酸カリウムを加熱する。,2KMnO_4 -> K_2MnO_4 + MnO_2 + O_2↑,オ;エ,酸素を発生する熱分解。,2
082,第I部,熱分解反応,炭酸水素ナトリウムを加熱する。,2NaHCO_3 -> Na_2CO_3 + H_2O + CO_2↑,オ,炭酸水素塩の熱分解。,1
083,第I部,熱分解反応,炭酸カルシウムを強熱する。,CaCO_3 -> CaO + CO_2↑,オ,石灰石の熱分解。,1
084,第I部,熱分解反応,炭酸マグネシウムを加熱する。,MgCO_3 -> MgO + CO_2↑,オ,炭酸塩の熱分解。,1
085,第I部,熱分解反応,炭酸銅(II)を加熱する。,CuCO_3 -> CuO + CO_2↑,オ,黒色の酸化銅(II)を生じる。,1
086,第I部,熱分解反応,塩基性炭酸銅(II)を加熱する。,Cu_2(OH)_2CO_3 -> 2CuO + H_2O + CO_2↑,オ,緑青成分の熱分解。,2
087,第I部,熱分解反応,水酸化鉄(III)を加熱する。,2Fe(OH)_3 -> Fe_2O_3 + 3H_2O,オ,酸化鉄(III)を生じる。,1
088,第I部,熱分解反応,水酸化銅(II)を加熱する。,Cu(OH)_2 -> CuO + H_2O,オ,青白色沈殿が黒色になる。,1
089,第I部,熱分解反応,水酸化アルミニウムを強熱する。,2Al(OH)_3 -> Al_2O_3 + 3H_2O,オ,酸化アルミニウムを生じる。,2
090,第I部,熱分解・酸化還元,酸化銀を加熱する。,2Ag_2O -> 4Ag + O_2↑,オ;エ,金属銀と酸素を生じる。,1
091,第I部,熱分解・酸化還元,酸化水銀(II)を加熱する。,2HgO -> 2Hg + O_2↑,オ;エ,金属水銀と酸素を生じる。,2
092,第I部,熱分解・酸化還元,硝酸カリウムを加熱する。,2KNO_3 -> 2KNO_2 + O_2↑,オ;エ,アルカリ金属硝酸塩の熱分解。,2
093,第I部,熱分解・酸化還元,硝酸鉛(II)を加熱する。,2Pb(NO_3)_2 -> 2PbO + 4NO_2↑ + O_2↑,オ;エ,二酸化窒素と酸素を発生する。,2
094,第I部,熱分解・酸化還元,硝酸アンモニウムを穏やかに加熱する。,NH_4NO_3 -> N_2O↑ + 2H_2O,オ;エ,亜酸化窒素を生じる分子内酸化還元。,2
095,第II部,沈殿生成反応,硝酸銀水溶液に塩化ナトリウム水溶液を加える。,AgNO_3 + NaCl -> AgCl↓ + NaNO_3,カ,塩化銀の白色沈殿。,1
096,第II部,沈殿生成反応,硝酸銀水溶液に臭化カリウム水溶液を加える。,AgNO_3 + KBr -> AgBr↓ + KNO_3,カ,臭化銀の淡黄色沈殿。,1
097,第II部,沈殿生成反応,硝酸銀水溶液にヨウ化カリウム水溶液を加える。,AgNO_3 + KI -> AgI↓ + KNO_3,カ,ヨウ化銀の黄色沈殿。,1
098,第II部,沈殿生成反応,塩化バリウム水溶液に硫酸ナトリウム水溶液を加える。,BaCl_2 + Na_2SO_4 -> BaSO_4↓ + 2NaCl,カ,硫酸バリウムの白色沈殿。,1
099,第II部,沈殿生成反応,硝酸鉛(II)水溶液にヨウ化カリウム水溶液を加える。,Pb(NO_3)_2 + 2KI -> PbI_2↓ + 2KNO_3,カ,ヨウ化鉛(II)の黄色沈殿。,1
100,第II部,沈殿生成反応,硝酸鉛(II)水溶液に塩化ナトリウム水溶液を加える。,Pb(NO_3)_2 + 2NaCl -> PbCl_2↓ + 2NaNO_3,カ,塩化鉛(II)の白色沈殿。,2
101,第II部,沈殿生成反応,塩化カルシウム水溶液に炭酸ナトリウム水溶液を加える。,CaCl_2 + Na_2CO_3 -> CaCO_3↓ + 2NaCl,カ,炭酸カルシウムの白色沈殿。,1
102,第II部,沈殿生成反応,塩化マグネシウム水溶液に水酸化ナトリウム水溶液を加える。,MgCl_2 + 2NaOH -> Mg(OH)_2↓ + 2NaCl,カ,水酸化マグネシウムの白色沈殿。,1
103,第II部,沈殿生成反応,塩化アルミニウム水溶液に少量の水酸化ナトリウム水溶液を加える。,AlCl_3 + 3NaOH -> Al(OH)_3↓ + 3NaCl,カ,水酸化アルミニウムの白色ゲル状沈殿。,1
104,第II部,沈殿生成反応,硫酸亜鉛水溶液に少量の水酸化ナトリウム水溶液を加える。,ZnSO_4 + 2NaOH -> Zn(OH)_2↓ + Na_2SO_4,カ,水酸化亜鉛の白色沈殿。,1
105,第II部,沈殿生成反応,塩化鉄(II)水溶液に水酸化ナトリウム水溶液を加える。,FeCl_2 + 2NaOH -> Fe(OH)_2↓ + 2NaCl,カ,水酸化鉄(II)の緑白色沈殿。,1
106,第II部,沈殿生成反応,塩化鉄(III)水溶液に水酸化ナトリウム水溶液を加える。,FeCl_3 + 3NaOH -> Fe(OH)_3↓ + 3NaCl,カ,水酸化鉄(III)の赤褐色沈殿。,1
107,第II部,沈殿生成反応,硫酸銅(II)水溶液に水酸化ナトリウム水溶液を加える。,CuSO_4 + 2NaOH -> Cu(OH)_2↓ + Na_2SO_4,カ,水酸化銅(II)の青白色沈殿。,1
108,第II部,沈殿生成反応,硫酸ニッケル(II)水溶液に水酸化ナトリウム水溶液を加える。,NiSO_4 + 2NaOH -> Ni(OH)_2↓ + Na_2SO_4,カ,水酸化ニッケル(II)の緑色沈殿。,2
109,第II部,沈殿生成反応,硝酸銀水溶液に硫化ナトリウム水溶液を加える。,2AgNO_3 + Na_2S -> Ag_2S↓ + 2NaNO_3,カ,硫化銀の黒色沈殿。,2
110,第II部,沈殿生成反応,硫酸銅(II)水溶液に硫化ナトリウム水溶液を加える。,CuSO_4 + Na_2S -> CuS↓ + Na_2SO_4,カ,硫化銅(II)の黒色沈殿。,2
111,第II部,沈殿生成反応,クロム酸カリウム水溶液に硝酸鉛(II)水溶液を加える。,K_2CrO_4 + Pb(NO_3)_2 -> PbCrO_4↓ + 2KNO_3,カ,クロム酸鉛(II)の黄色沈殿。,2
112,第II部,沈殿生成反応,硝酸銀水溶液にクロム酸カリウム水溶液を加える。,2AgNO_3 + K_2CrO_4 -> Ag_2CrO_4↓ + 2KNO_3,カ,クロム酸銀の赤褐色沈殿。,2
113,第II部,錯体生成反応,塩化銀の沈殿に過剰のアンモニア水を加える。,AgCl + 2NH_3 -> [Ag(NH_3)_2]^+ + Cl^-,キ,ジアンミン銀(I)イオンを生じて沈殿が溶ける。,1
114,第II部,錯体生成反応,臭化銀にチオ硫酸イオンを過剰に加える。,AgBr + 2S_2O_3^2- -> [Ag(S_2O_3)_2]^3- + Br^-,キ,写真の定着に関係する錯体生成。,3
115,第II部,錯体生成反応,銀イオンにアンモニアを過剰に加える。,Ag^+ + 2NH_3 -> [Ag(NH_3)_2]^+,キ,ジアンミン銀(I)イオンの生成。,1
116,第II部,錯体生成反応,銅(II)イオンにアンモニアを過剰に加える。,Cu^2+ + 4NH_3 -> [Cu(NH_3)_4]^2+,キ,深青色のテトラアンミン銅(II)イオンを生じる。,1
117,第II部,錯体生成反応,水酸化銅(II)の沈殿に過剰のアンモニア水を加える。,Cu(OH)_2 + 4NH_3 -> [Cu(NH_3)_4]^2+ + 2OH^-,キ,錯体生成により沈殿が溶ける。,2
118,第II部,錯体生成反応,亜鉛イオンにアンモニアを過剰に加える。,Zn^2+ + 4NH_3 -> [Zn(NH_3)_4]^2+,キ,テトラアンミン亜鉛(II)イオンの生成。,2
119,第II部,錯体生成反応,水酸化亜鉛の沈殿に過剰のアンモニア水を加える。,Zn(OH)_2 + 4NH_3 -> [Zn(NH_3)_4]^2+ + 2OH^-,キ,錯体生成により沈殿が溶ける。,2
120,第II部,錯体生成反応,ニッケル(II)イオンにアンモニアを過剰に加える。,Ni^2+ + 6NH_3 -> [Ni(NH_3)_6]^2+,キ,ヘキサアンミンニッケル(II)イオンの生成。,2
121,第II部,錯体生成反応,鉄(III)イオンにシアン化物イオンを過剰に加える。,Fe^3+ + 6CN^- -> [Fe(CN)_6]^3-,キ,ヘキサシアニド鉄(III)酸イオンの生成。,3
122,第II部,錯体生成反応,鉄(II)イオンにシアン化物イオンを過剰に加える。,Fe^2+ + 6CN^- -> [Fe(CN)_6]^4-,キ,ヘキサシアニド鉄(II)酸イオンの生成。,3
123,第II部,錯体生成反応,鉄(III)イオンにチオシアン酸イオンを加える。,Fe^3+ + SCN^- -> [FeSCN]^2+,キ,血赤色の錯イオンを生じる。,2
124,第II部,錯体生成反応,水酸化アルミニウムに過剰の水酸化物イオンを加える。,Al(OH)_3 + OH^- -> [Al(OH)_4]^-,キ,テトラヒドロキシドアルミン酸イオンの生成。,1
125,第II部,錯体生成反応,水酸化亜鉛に過剰の水酸化物イオンを加える。,Zn(OH)_2 + 2OH^- -> [Zn(OH)_4]^2-,キ,テトラヒドロキシド亜鉛(II)酸イオンの生成。,2
126,第II部,錯体生成反応,水酸化スズ(IV)に過剰の水酸化物イオンを加える。,Sn(OH)_4 + 2OH^- -> [Sn(OH)_6]^2-,キ,ヘキサヒドロキシドスズ(IV)酸イオンの生成。,3
127,第II部,錯体生成反応,ヘキサアクアコバルト(II)イオンに濃塩酸を加える。,[Co(H_2O)_6]^2+ + 4Cl^- -> [CoCl_4]^2- + 6H_2O,キ,テトラクロリドコバルト(II)酸イオンの生成。,3
128,第II部,錯体生成反応,ヨウ化水銀(II)にヨウ化物イオンを過剰に加える。,HgI_2 + 2I^- -> [HgI_4]^2-,キ,テトラヨージド水銀(II)酸イオンの生成。,3
